date,daily_deaths
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,1
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,1
2020-03-17,2
2020-03-18,2
2020-03-19,7
2020-03-20,9
2020-03-21,9
2020-03-22,9
2020-03-23,18
2020-03-24,22
2020-03-25,34
2020-03-26,37
2020-03-27,72
2020-03-28,47
2020-03-29,55
2020-03-30,104
2020-03-31,134
2020-04-01,163
2020-04-02,149
2020-04-03,172
2020-04-04,152
2020-04-05,182
2020-04-06,203
2020-04-07,305
2020-04-08,293
2020-04-09,290
2020-04-10,403
2020-04-11,278
2020-04-12,179
2020-04-13,260
2020-04-14,385
2020-04-15,373
2020-04-16,406
2020-04-17,317
2020-04-18,320
2020-04-19,186
2020-04-20,228
2020-04-21,530
2020-04-22,354
2020-04-23,431
2020-04-24,355
2020-04-25,386
2020-04-26,197
2020-04-27,222
2020-04-28,480
2020-04-29,467
2020-04-30,409
2020-05-01,343
2020-05-02,401
2020-05-03,167
2020-05-04,199
2020-05-05,447
2020-05-06,436
2020-05-07,414
2020-05-08,327
2020-05-09,372
2020-05-10,164
2020-05-11,178
2020-05-12,424
2020-05-13,397
2020-05-14,373
2020-05-15,338
2020-05-16,266
2020-05-17,121
2020-05-18,161
2020-05-19,435
2020-05-20,393
2020-05-21,351
2020-05-22,284
2020-05-23,281
2020-05-24,135
2020-05-25,95
2020-05-26,162
2020-05-27,393
2020-05-28,312
2020-05-29,294
2020-05-30,251
2020-05-31,133
2020-06-01,172
2020-06-02,323
2020-06-03,206
2020-06-04,264
2020-06-05,421
2020-06-06,204
2020-06-07,85
2020-06-08,303
2020-06-09,232
2020-06-10,216
2020-06-11,225
2020-06-12,182
2020-06-13,128
2020-06-14,54
2020-06-15,91
2020-06-16,162
2020-06-17,180
2020-06-18,190
2020-06-19,180
2020-06-20,150
2020-06-21,43
2020-06-22,63
2020-06-23,138
2020-06-24,130
2020-06-25,118
2020-06-26,89
2020-06-27,106
2020-06-28,41
2020-06-29,62
2020-06-30,149
2020-07-01,81
2020-07-02,127
2020-07-03,67
2020-07-04,27
2020-07-05,25
2020-07-06,49
2020-07-07,165
2020-07-08,108
2020-07-09,75
2020-07-10,97
2020-07-11,82
2020-07-12,60
2020-07-13,43
2020-07-14,81
2020-07-15,73
2020-07-16,109
2020-07-17,59
2020-07-18,93
2020-07-19,63
2020-07-20,63
2020-07-21,119
2020-07-22,108
2020-07-23,116
2020-07-24,98
2020-07-25,48
2020-07-26,37
2020-07-27,99
2020-07-28,148
2020-07-29,116
2020-07-30,124
2020-07-31,151
2020-08-01,73
2020-08-02,48
2020-08-03,57
2020-08-04,111
2020-08-05,119
2020-08-06,131
2020-08-07,158
2020-08-08,79
2020-08-09,33
2020-08-10,43
2020-08-11,131
2020-08-12,127
2020-08-13,126
2020-08-14,102
2020-08-15,111
2020-08-16,45
2020-08-17,82
2020-08-18,172
2020-08-19,141
2020-08-20,122
2020-08-21,108
2020-08-22,109
2020-08-23,30
2020-08-24,57
2020-08-25,137
2020-08-26,173
2020-08-27,134
2020-08-28,118
2020-08-29,101
2020-08-30,35
2020-08-31,51
2020-09-01,154
2020-09-02,119
2020-09-03,139
2020-09-04,153
2020-09-05,113
2020-09-06,30
2020-09-07,41
2020-09-08,79
2020-09-09,221
2020-09-10,131
2020-09-11,177
2020-09-12,124
2020-09-13,52
2020-09-14,53
2020-09-15,184
2020-09-16,195
2020-09-17,112
2020-09-18,135
2020-09-19,88
2020-09-20,25
2020-09-21,123
2020-09-22,149
2020-09-23,202
2020-09-24,140
2020-09-25,142
2020-09-26,126
2020-09-27,29
2020-09-28,84
2020-09-29,185
2020-09-30,191
2020-10-01,160
2020-10-02,238
2020-10-03,147
2020-10-04,44
2020-10-05,95
2020-10-06,168
2020-10-07,255
2020-10-08,179
2020-10-09,271
2020-10-10,154
2020-10-11,42
2020-10-12,83
2020-10-13,188
2020-10-14,330
2020-10-15,201
2020-10-16,222
2020-10-17,198
2020-10-18,73
2020-10-19,198
