date,daily_deaths
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,1.0
2020-03-13,-1.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,1.0
2020-03-17,1.0
2020-03-18,0.0
2020-03-19,5.0
2020-03-20,2.0
2020-03-21,0.0
2020-03-22,0.0
2020-03-23,9.0
2020-03-24,4.0
2020-03-25,12.0
2020-03-26,3.0
2020-03-27,35.0
2020-03-28,-25.0
2020-03-29,8.0
2020-03-30,49.0
2020-03-31,30.0
2020-04-01,29.0
2020-04-02,-14.0
2020-04-03,23.0
2020-04-04,-20.0
2020-04-05,30.0
2020-04-06,21.0
2020-04-07,102.0
2020-04-08,-12.0
2020-04-09,-3.0
2020-04-10,113.0
2020-04-11,-125.0
2020-04-12,-99.0
2020-04-13,81.0
2020-04-14,125.0
2020-04-15,-12.0
2020-04-16,33.0
2020-04-17,-89.0
2020-04-18,3.0
2020-04-19,-134.0
2020-04-20,42.0
2020-04-21,302.0
2020-04-22,-176.0
2020-04-23,77.0
2020-04-24,-76.0
2020-04-25,31.0
2020-04-26,-189.0
2020-04-27,25.0
2020-04-28,258.0
2020-04-29,-13.0
2020-04-30,-58.0
2020-05-01,-66.0
2020-05-02,58.0
2020-05-03,-234.0
2020-05-04,32.0
2020-05-05,248.0
2020-05-06,-11.0
2020-05-07,-22.0
2020-05-08,-87.0
2020-05-09,45.0
2020-05-10,-208.0
2020-05-11,14.0
2020-05-12,246.0
