date,daily_deaths
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,2
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,1
2020-03-13,0
2020-03-14,3
2020-03-15,1
2020-03-16,5
2020-03-17,5
2020-03-18,7
2020-03-19,16
2020-03-20,9
2020-03-21,19
2020-03-22,17
2020-03-23,21
2020-03-24,39
2020-03-25,46
2020-03-26,55
2020-03-27,82
2020-03-28,77
2020-03-29,45
2020-03-30,105
2020-03-31,137
2020-04-01,145
2020-04-02,168
2020-04-03,189
2020-04-04,167
2020-04-05,162
2020-04-06,247
2020-04-07,281
2020-04-08,224
2020-04-09,306
2020-04-10,232
2020-04-11,200
2020-04-12,136
2020-04-13,239
2020-04-14,421
2020-04-15,451
2020-04-16,308
2020-04-17,344
2020-04-18,221
2020-04-19,156
2020-04-20,293
2020-04-21,417
2020-04-22,397
2020-04-23,324
2020-04-24,323
2020-04-25,288
2020-04-26,159
2020-04-27,221
2020-04-28,440
2020-04-29,396
2020-04-30,372
2020-05-01,353
2020-05-02,278
2020-05-03,178
2020-05-04,282
2020-05-05,437
2020-05-06,361
2020-05-07,389
2020-05-08,346
2020-05-09,252
2020-05-10,124
2020-05-11,218
2020-05-12,410
2020-05-13,300
2020-05-14,354
2020-05-15,306
2020-05-16,245
2020-05-17,134
2020-05-18,218
2020-05-19,338
2020-05-20,295
2020-05-21,316
2020-05-22,289
2020-05-23,217
2020-05-24,112
2020-05-25,156
2020-05-26,206
2020-05-27,388
2020-05-28,295
2020-05-29,284
2020-05-30,222
2020-05-31,134
2020-06-01,153
2020-06-02,315
2020-06-03,270
2020-06-04,240
2020-06-05,252
2020-06-06,174
2020-06-07,76
2020-06-08,174
2020-06-09,327
2020-06-10,260
2020-06-11,246
2020-06-12,234
2020-06-13,177
2020-06-14,59
2020-06-15,127
2020-06-16,298
2020-06-17,233
2020-06-18,213
2020-06-19,209
2020-06-20,168
2020-06-21,71
2020-06-22,125
2020-06-23,374
2020-06-24,249
2020-06-25,221
2020-06-26,227
2020-06-27,188
2020-06-28,90
2020-06-29,122
2020-06-30,289
2020-07-01,265
2020-07-02,268
2020-07-03,260
2020-07-04,109
2020-07-05,95
2020-07-06,181
2020-07-07,392
2020-07-08,391
2020-07-09,393
2020-07-10,398
2020-07-11,328
2020-07-12,172
2020-07-13,187
2020-07-14,491
2020-07-15,442
2020-07-16,529
2020-07-17,500
2020-07-18,353
2020-07-19,245
2020-07-20,303
2020-07-21,614
2020-07-22,716
2020-07-23,585
2020-07-24,652
2020-07-25,516
2020-07-26,295
2020-07-27,1399
2020-07-28,720
2020-07-29,943
2020-07-30,711
2020-07-31,864
2020-08-01,668
2020-08-02,271
2020-08-03,355
2020-08-04,859
2020-08-05,803
2020-08-06,699
2020-08-07,783
2020-08-08,624
2020-08-09,353
2020-08-10,331
2020-08-11,942
2020-08-12,924
2020-08-13,685
2020-08-14,740
2020-08-15,675
2020-08-16,380
2020-08-17,302
2020-08-18,809
2020-08-19,719
2020-08-20,626
2020-08-21,741
2020-08-22,533
2020-08-23,342
2020-08-24,275
2020-08-25,753
2020-08-26,694
2020-08-27,687
2020-08-28,559
2020-08-29,595
2020-08-30,238
2020-08-31,285
2020-09-01,693
2020-09-02,635
2020-09-03,600
2020-09-04,517
2020-09-05,413
2020-09-06,294
2020-09-07,135
2020-09-08,232
2020-09-09,631
2020-09-10,548
2020-09-11,760
2020-09-12,412
2020-09-13,249
2020-09-14,224
2020-09-15,803
2020-09-16,545
2020-09-17,497
2020-09-18,534
2020-09-19,371
2020-09-20,132
2020-09-21,165
2020-09-22,528
2020-09-23,647
2020-09-24,552
2020-09-25,447
2020-09-26,464
2020-09-27,174
2020-09-28,183
2020-09-29,466
2020-09-30,537
2020-10-01,475
2020-10-02,392
2020-10-03,413
2020-10-04,195
2020-10-05,194
2020-10-06,372
2020-10-07,477
2020-10-08,547
2020-10-09,464
2020-10-10,260
2020-10-11,301
2020-10-12,164
2020-10-13,431
2020-10-14,423
2020-10-15,443
2020-10-16,431
2020-10-17,348
2020-10-18,200
2020-10-19,194
