date,daily_deaths
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,2.0
2020-03-07,-2.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,1.0
2020-03-13,-1.0
2020-03-14,3.0
2020-03-15,-2.0
2020-03-16,4.0
2020-03-17,0.0
2020-03-18,2.0
2020-03-19,9.0
2020-03-20,-7.0
2020-03-21,10.0
2020-03-22,-2.0
2020-03-23,4.0
2020-03-24,18.0
2020-03-25,7.0
2020-03-26,9.0
2020-03-27,27.0
2020-03-28,-5.0
2020-03-29,-32.0
2020-03-30,60.0
2020-03-31,32.0
2020-04-01,8.0
2020-04-02,23.0
2020-04-03,21.0
2020-04-04,-22.0
2020-04-05,-5.0
2020-04-06,85.0
2020-04-07,34.0
2020-04-08,-57.0
2020-04-09,82.0
2020-04-10,-74.0
2020-04-11,-32.0
2020-04-12,-64.0
2020-04-13,103.0
2020-04-14,182.0
2020-04-15,30.0
2020-04-16,-143.0
2020-04-17,36.0
2020-04-18,-123.0
2020-04-19,-65.0
2020-04-20,137.0
2020-04-21,124.0
2020-04-22,-20.0
2020-04-23,-73.0
2020-04-24,-1.0
2020-04-25,-35.0
2020-04-26,-129.0
2020-04-27,62.0
2020-04-28,219.0
2020-04-29,-44.0
2020-04-30,-24.0
2020-05-01,-19.0
2020-05-02,-75.0
2020-05-03,-100.0
2020-05-04,104.0
2020-05-05,155.0
2020-05-06,-76.0
2020-05-07,28.0
2020-05-08,-43.0
2020-05-09,-94.0
2020-05-10,-128.0
2020-05-11,94.0
2020-05-12,192.0
