date,daily_deaths
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,1
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,3
2020-03-15,4
2020-03-16,5
2020-03-17,8
2020-03-18,18
2020-03-19,16
2020-03-20,32
2020-03-21,35
2020-03-22,58
2020-03-23,58
2020-03-24,109
2020-03-25,151
2020-03-26,158
2020-03-27,195
2020-03-28,353
2020-03-29,280
2020-03-30,389
2020-03-31,582
2020-04-01,637
2020-04-02,808
2020-04-03,936
2020-04-04,1123
2020-04-05,938
2020-04-06,962
2020-04-07,1510
2020-04-08,1444
2020-04-09,1383
2020-04-10,1492
2020-04-11,1471
2020-04-12,1273
2020-04-13,1160
2020-04-14,1743
2020-04-15,1739
2020-04-16,1469
2020-04-17,1455
2020-04-18,1252
2020-04-19,1124
2020-04-20,1190
2020-04-21,1521
2020-04-22,1378
2020-04-23,1165
2020-04-24,1199
2020-04-25,1166
2020-04-26,825
2020-04-27,844
2020-04-28,1287
2020-04-29,1488
2020-04-30,1245
2020-05-01,887
2020-05-02,770
2020-05-03,906
2020-05-04,515
2020-05-05,1123
2020-05-06,1715
2020-05-07,974
2020-05-08,674
2020-05-09,685
2020-05-10,559
2020-05-11,466
2020-05-12,644
2020-05-13,825
2020-05-14,878
2020-05-15,659
2020-05-16,557
2020-05-17,509
2020-05-18,383
2020-05-19,538
2020-05-20,582
2020-05-21,474
2020-05-22,591
2020-05-23,421
2020-05-24,321
2020-05-25,211
2020-05-26,281
2020-05-27,501
2020-05-28,419
2020-05-29,440
2020-05-30,370
2020-05-31,289
2020-06-01,320
2020-06-02,312
2020-06-03,357
2020-06-04,392
2020-06-05,313
2020-06-06,224
2020-06-07,188
2020-06-08,181
2020-06-09,308
2020-06-10,294
2020-06-11,247
2020-06-12,244
2020-06-13,257
2020-06-14,152
2020-06-15,167
2020-06-16,163
2020-06-17,214
2020-06-18,171
2020-06-19,170
2020-06-20,109
2020-06-21,102
2020-06-22,106
2020-06-23,163
2020-06-24,203
2020-06-25,203
2020-06-26,185
2020-06-27,126
2020-06-28,87
2020-06-29,90
2020-06-30,718
2020-07-01,104
2020-07-02,164
2020-07-03,139
2020-07-04,81
2020-07-05,75
2020-07-06,54
2020-07-07,139
2020-07-08,221
2020-07-09,125
2020-07-10,123
2020-07-11,93
2020-07-12,32
2020-07-13,122
2020-07-14,70
2020-07-15,153
2020-07-16,100
2020-07-17,83
2020-07-18,66
2020-07-19,47
2020-07-20,44
2020-07-21,76
2020-07-22,62
2020-07-23,109
2020-07-24,83
2020-07-25,48
2020-07-26,43
2020-07-27,52
2020-07-28,78
2020-07-29,66
2020-07-30,87
2020-07-31,49
2020-08-01,56
2020-08-02,34
2020-08-03,43
2020-08-04,51
2020-08-05,27
2020-08-06,73
2020-08-07,60
2020-08-08,43
2020-08-09,30
2020-08-10,25
2020-08-11,61
2020-08-12,82
2020-08-13,74
2020-08-14,83
2020-08-15,43
2020-08-16,31
2020-08-17,27
2020-08-18,54
2020-08-19,73
2020-08-20,35
2020-08-21,55
2020-08-22,46
2020-08-23,22
2020-08-24,40
2020-08-25,56
2020-08-26,59
2020-08-27,53
2020-08-28,56
2020-08-29,40
2020-08-30,31
2020-08-31,29
2020-09-01,43
2020-09-02,53
2020-09-03,50
2020-09-04,53
2020-09-05,45
2020-09-06,20
2020-09-07,43
2020-09-08,42
2020-09-09,41
2020-09-10,54
2020-09-11,50
2020-09-12,29
2020-09-13,24
2020-09-14,56
2020-09-15,42
2020-09-16,62
2020-09-17,45
2020-09-18,61
2020-09-19,52
2020-09-20,46
2020-09-21,58
2020-09-22,40
2020-09-23,68
2020-09-24,48
2020-09-25,39
2020-09-26,50
2020-09-27,28
2020-09-28,33
2020-09-29,45
2020-09-30,76
2020-10-01,67
2020-10-02,59
2020-10-03,43
2020-10-04,40
2020-10-05,57
2020-10-06,54
2020-10-07,71
2020-10-08,57
2020-10-09,47
2020-10-10,64
2020-10-11,30
2020-10-12,51
2020-10-13,53
2020-10-14,74
2020-10-15,76
2020-10-16,80
