date,daily_deaths
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,1.0
2020-03-01,1.0
2020-03-02,1.0
2020-03-03,1.0
2020-03-04,-2.0
2020-03-05,-2.0
2020-03-06,1.0
2020-03-07,3.0
2020-03-08,-1.0
2020-03-09,1.0
2020-03-10,-1.0
2020-03-11,3.0
2020-03-12,-2.0
2020-03-13,3.0
2020-03-14,-3.0
2020-03-15,-1.0
2020-03-16,9.0
2020-03-17,-1.0
2020-03-18,7.0
2020-03-19,-7.0
2020-03-20,4.0
2020-03-21,3.0
2020-03-22,-5.0
2020-03-23,9.0
2020-03-24,14.0
2020-03-25,2.0
2020-03-26,10.0
2020-03-27,19.0
2020-03-28,-15.0
2020-03-29,-17.0
2020-03-30,12.0
2020-03-31,33.0
2020-04-01,-2.0
2020-04-02,11.0
2020-04-03,-2.0
2020-04-04,18.0
2020-04-05,-22.0
2020-04-06,27.0
2020-04-07,25.0
2020-04-08,-6.0
2020-04-09,-2.0
2020-04-10,-3.0
2020-04-11,-2.0
2020-04-12,-34.0
2020-04-13,13.0
2020-04-14,40.0
2020-04-15,37.0
2020-04-16,-27.0
2020-04-17,14.0
2020-04-18,-10.0
2020-04-19,-87.0
2020-04-20,48.0
2020-04-21,80.0
2020-04-22,28.0
2020-04-23,-6.0
2020-04-24,15.0
2020-04-25,-123.0
2020-04-26,-52.0
2020-04-27,90.0
2020-04-28,32.0
2020-04-29,-32.0
2020-04-30,11.0
2020-05-01,11.0
2020-05-02,-45.0
2020-05-03,-58.0
2020-05-04,19.0
2020-05-05,133.0
2020-05-06,-36.0
2020-05-07,-13.0
2020-05-08,34.0
2020-05-09,-67.0
2020-05-10,-68.0
2020-05-11,43.0
