date,daily_deaths
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,1.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,1.0
2020-03-17,2.0
2020-03-18,2.0
2020-03-19,6.0
2020-03-20,9.0
2020-03-21,9.0
2020-03-22,9.0
2020-03-23,17.0
2020-03-24,20.0
2020-03-25,32.0
2020-03-26,30.0
2020-03-27,63.0
2020-03-28,38.0
2020-03-29,46.0
2020-03-30,86.0
2020-03-31,112.0
2020-04-01,129.0
2020-04-02,112.0
2020-04-03,100.0
2020-04-04,105.0
2020-04-05,127.0
2020-04-06,99.0
2020-04-07,171.0
2020-04-08,130.0
2020-04-09,141.0
2020-04-10,231.0
2020-04-11,126.0
2020-04-12,-3.0
2020-04-13,57.0
2020-04-14,80.0
2020-04-15,80.0
2020-04-16,116.0
2020-04-17,-86.0
2020-04-18,42.0
2020-04-19,7.0
2020-04-20,-32.0
2020-04-21,145.0
2020-04-22,-19.0
2020-04-23,25.0
2020-04-24,38.0
2020-04-25,66.0
2020-04-26,11.0
2020-04-27,-6.0
2020-04-28,-50.0
2020-04-29,113.0
2020-04-30,-22.0
2020-05-01,-12.0
2020-05-02,15.0
2020-05-03,-30.0
2020-05-04,-23.0
2020-05-05,-33.0
2020-05-06,-31.0
2020-05-07,5.0
2020-05-08,-16.0
2020-05-09,-29.0
2020-05-10,-3.0
2020-05-11,-21.0
2020-05-12,-23.0
2020-05-13,-39.0
